area_ha,region,dist_perc,year,extent_m2,grid_n,grid_area_m2,cent_lon,cent_lat,min_lon,min_lat,max_lon,max_lat,samples_total_checklists,samples_median_checklists,samples_total_obs,samples_median_obs,samples_date_min,samples_date_max,samples_n_years_min,samples_n_years_max,samples_n_years_median
10000,10 - Northern Rockies,dist_100,2010,1372220190589.6387,532,53689868455.81293,-114.43782225338623,47.27749057509652,-129.9377380751601,40.372525898340896,-105.47056881983407,56.75614844247789,2066,2,25,0,14730,14821,5,13,12
10000,10 - Northern Rockies,dist_100,2011,1319539530187.5059,602,60754324831.57778,-114.64059394839435,47.23122580162303,-127.7375536887403,40.217015371377954,-105.49329650745419,56.02973522319492,2269,2,22,0,15095,15186,5,13,12
10000,10 - Northern Rockies,dist_100,2012,1402294590589.323,935,94360953019.14485,-114.6544225468092,47.14067016201447,-130.11101211365252,40.4142312970349,-105.48211692000757,56.84147347219433,4511,2,49,0,15461,15552,5,13,11
10000,10 - Northern Rockies,dist_100,2013,1353751683207.2815,1097,110710123488.7721,-114.59003411435548,47.01386852688855,-127.7375536887403,40.217015371377954,-105.47056881983407,55.83922312416868,6415,2,73,0,15826,15917,5,13,10
10000,10 - Northern Rockies,dist_100,2014,1422327370454.8848,1358,137050453689.83829,-114.84289784001372,46.880046948550174,-129.9377380751601,40.372525898340896,-105.47056881983407,56.75614844247789,9975,2.5,124,0,16191,16282,5,13,10
10000,10 - Northern Rockies,dist_100,2015,1355921480522.6948,1557,157133693958.08408,-114.65955973696597,47.04517386620191,-127.74539208725906,40.217015371377954,-105.49329650745419,56.034528607114126,12518,3,129,0,16556,16647,5,13,10
10000,10 - Northern Rockies,dist_100,2016,1424598088575.666,1625,163996308723.11273,-114.59949679634263,47.01978664623483,-130.11101211365252,40.33283838497517,-105.47056881983407,56.84147347219433,14517,3,195,0,16922,17013,5,13,9
10000,10 - Northern Rockies,dist_100,2017,1429442287233.3335,1805,182162053689.3652,-114.57302967140481,47.01645278646224,-129.9377380751601,40.217015371377954,-105.47056881983407,56.75614844247789,18068,4,353,0,17287,17378,5,13,9
10000,10 - Northern Rockies,dist_100,2018,1430401034884.3298,1936,195382679192.5823,-114.67132067188973,47.08848501355335,-130.11101211365252,40.372525898340896,-105.49329650745419,56.84147347219433,23754,4,290,0,17652,17743,5,13,9
10000,10 - Northern Rockies,dist_100,2019,1425455915421.2947,2007,202548056373.71518,-114.6829463871795,47.03906874689639,-129.9377380751601,40.217015371377954,-105.49329650745419,56.75614844247789,27162,5,365,0,18017,18108,5,13,9
10000,10 - Northern Rockies,dist_100,2020,1431813926159.4827,2045,206383046977.70187,-114.71547229706533,46.984092581345166,-130.11101211365252,40.33283838497517,-105.48211692000757,56.84147347219433,32354,5,443,0,18383,18474,5,13,9
10000,10 - Northern Rockies,dist_100,2021,1432570832199.7432,2056,207493175836.7506,-114.6415832154212,46.96755318851836,-130.11101211365252,40.217015371377954,-105.48211692000757,56.84147347219433,36081,6,418,0,18748,18839,5,13,9
10000,10 - Northern Rockies,dist_100,2022,1426566044280.3435,2080,209915275165.58432,-114.7191217971025,47.04442423419007,-129.9377380751601,40.217015371377954,-105.47056881983407,56.75614844247789,40049,6,378,0,19113,19204,5,13,9
10000,11 - Prairie Potholes,dist_100,2010,1218063660389.9126,467,47130016106.88838,-102.37880935699991,48.34394179477347,-114.72198455070166,41.55519556512227,-93.11178782934712,54.19580090710119,2058,2,7,0,14730,14821,5,13,11
10000,11 - Prairie Potholes,dist_100,2011,1248995887235.2253,532,53689868455.81289,-102.74411732524275,48.45332631707014,-114.69894135668333,41.5147869707571,-93.11178782934712,54.13645716922393,2329,1,15,0,15095,15186,5,13,11
10000,11 - Prairie Potholes,dist_100,2012,1239509331530.627,768,77507178522.67717,-102.97576511067317,48.36423201014259,-114.72198455070166,41.5147869707571,-93.11178782934712,54.13645716922393,3965,2,22,0,15461,15552,5,13,10
10000,11 - Prairie Potholes,dist_100,2013,1244908594617.8188,985,99406993287.54816,-102.35585309708567,48.3460639696986,-114.72198455070166,41.469526997346605,-93.1088465729067,54.13645716922393,6296,2,40,0,15826,15917,5,13,10
10000,11 - Prairie Potholes,dist_100,2014,1243546163745.35,1186,119692075166.53018,-102.85340828369898,48.3635772452689,-114.69894135668333,41.47227135516872,-93.1088465729067,54.002291479291586,8296,2,42,0,16191,16282,5,13,9
10000,11 - Prairie Potholes,dist_100,2015,1252124432201.6355,1348,136041245636.15732,-102.52610337035749,48.26732080485919,-114.72198455070166,41.47227135516872,-93.00151090960603,54.18011419295851,10490,2,90,0,16556,16647,5,13,9
10000,11 - Prairie Potholes,dist_100,2016,1275689440255.0796,1552,156629089931.2434,-102.67057387605958,48.27540293176508,-114.72198455070166,41.47227135516872,-93.00151090960603,54.21129854038662,13496,2,119,0,16922,17013,5,13,8
10000,11 - Prairie Potholes,dist_100,2017,1268473602671.2627,1769,178528904696.11447,-102.37396595516266,48.22821044375738,-114.72198455070166,41.47227135516872,-93.00151090960603,54.19580090710119,18070,3,151,0,17287,17378,5,13,8
10000,11 - Prairie Potholes,dist_100,2018,1277455554349.0205,1984,200226877850.24936,-102.42387545081547,48.26343715627161,-114.72198455070166,41.469526997346605,-93.00151090960603,54.21129854038662,23567,4,137,0,17652,17743,5,13,8
10000,11 - Prairie Potholes,dist_100,2019,1273570103342.35,2070,208906067111.90338,-102.38589193969888,48.261491372415776,-114.72198455070166,41.469526997346605,-93.04592372190483,54.21129854038662,28762,4,164,0,18017,18108,5,13,8
