area_ha,region,dist_perc,year,extent_m2,grid_n,grid_area_m2,cent_lon,cent_lat,min_lon,min_lat,max_lon,max_lat,samples_total_checklists,samples_median_checklists,samples_total_obs,samples_median_obs,samples_date_min,samples_date_max,samples_n_years_min,samples_n_years_max,samples_n_years_median
10000,all,dist_100,2010,2667185504670.019,101,10193001342.175014,-112.9158281857575,43.38513327605531,-122.68444525528943,35.147338050641395,-99.3253543123267,53.42316829014023,828,3,173,1,14730,14821,5,13,13
10000,all,dist_100,2011,2785363767756.0293,134,13523387919.321323,-112.67033082476756,42.77560949200021,-122.35028992278716,31.458416075194133,-100.39904117410045,52.14622751443795,1001,3,196,1,15095,15186,5,13,12
10000,all,dist_100,2012,2894156395942.8076,165,16651932885.731443,-113.00943269699493,43.7100925568823,-122.64184199481767,33.91253227498064,-98.80757997040001,52.064838417955905,2014,5,279,1,15461,15552,5,13,12
10000,all,dist_100,2013,2870036323459.839,257,25936646979.59379,-112.94998616071143,43.98436805388827,-125.40974602933655,34.35946442578878,-99.28160000285226,54.14056702019598,5392,7,479,1,15826,15917,5,13,12
10000,all,dist_100,2014,3212359695268.3296,283,28560587919.163597,-113.1616177513899,43.945705889854985,-122.63397496796144,31.889947388194333,-99.3253543123267,54.14056702019598,5961,7,554,1,16191,16282,5,13,11
10000,all,dist_100,2015,3095291561041.3696,357,36028727516.400696,-113.46396836577854,44.49745888318098,-124.16320520465742,33.8532084104197,-98.51158218966926,54.235154669291774,6887,9,725,1,16556,16647,5,13,11
10000,all,dist_100,2016,3062239997283.3267,386,38955430872.07474,-112.80510561467942,44.3984174280638,-124.16320520465742,33.54807004653837,-99.3253543123267,54.235154669291774,9237,9,777,1,16922,17013,5,13,11
10000,all,dist_100,2017,3300463558354.6543,492,49653036241.090096,-112.71176054917196,44.77685804182846,-124.16320520465742,33.11558381706109,-98.80757997040001,54.14056702019598,11645,10,1240,1,17287,17378,5,13,10.5
10000,all,dist_100,2018,3249145328824.9917,507,51166848321.61113,-112.7843436938836,44.749978065250325,-124.30145495439264,34.28392611554124,-97.53117285119436,54.451137353396156,13287,10,1163,1,17652,17743,5,13,10
10000,all,dist_100,2019,3334928013387.8506,548,55304601341.70196,-112.9977605245242,45.12546820279517,-124.30145495439264,33.91469002806589,-98.73252206843863,54.54141699701367,17733,11,1347,1,18017,18108,5,13,10
10000,all,dist_100,2020,3215639621442.7915,528,53286185234.34059,-113.10483444777238,44.98036654869919,-124.16320520465742,33.91253227498064,-98.46912603082833,54.235154669291774,20280,11,1414,1,18383,18474,5,13,10
10000,all,dist_100,2021,3145903344933.4565,602,60754324831.5777,-112.76611911910855,44.94887530970508,-124.16719502128016,33.91253227498064,-99.74036761044478,54.235154669291774,27216,13,1735,1,18748,18839,5,13,10
10000,all,dist_100,2022,3526425241573.762,621,62671820133.571014,-112.2538640555062,45.018769703256766,-124.30145495439264,31.3687501758743,-97.8295855446756,54.451137353396156,30074,13,1662,1,19113,19204,5,13,10
